area,file_name,minister,ministry
seremban,Soalan_08-55_Oct_13_soalan-34.txt,Loke Siew Fook,menteri kewangan
tasek gelugor,20150521_Parliamentary_Reply_soalan-53.txt,Shabudin Yahaya,menteri kewangan
jerantut,20140618_soalan-49.txt,Mazlan Ahmad,menteri pelancongan dan kebudayaan
selasa,20141111_Parliamentary_Reply_soalan-31.txt,,menteri pertahanan
rasah,20150318_Parliamentary_Reply_soalan-41.txt,Teo Kok Seong,menteri perdagangan dalam negeri koperasi dan kepenggunaan
kinabatangan,Soalan_8-54_Oct_8_soalan-19.txt,,menteri dalam negeri
paya besar,20150518_20150618_S1_S100_soalan-78.txt,Abdul Manan Ismail,perdana menteri
puchong,20140619_soalan-116.txt,Gobind Singh Deo,perdana menteri
,20140611_soalan-130_1457585966.txt,,
hulu langat,20140331_61-75_soalan-67.txt,Che Rosli Bin Che Mat,menteri sumber asli dan alam sekitar
,Oct_Bertulis_Soalan_101-200_soalan-159.txt,Sapawi Ahmad Wasali,menteri perdagangan antarabangsa dan industri
sabak bernam,20150518_20150618_S1_S100_soalan-85.txt,Mohd Fasiah Bin Mohd Fakeh,menteri kewangan
pasir puteh,20140616_soalan-17_1457586145.txt,Nik Mazian Bin Nik Mohamad,menteri pendidikan
kluang,20140312_61-79_soalan-62.txt,Liew Chin Tong,menteri kewangan
,201406_SoalanBertulis_soalan-86.txt,,menteri dalam negeri
bachok,20150610_Parliamentary_Reply_soalan-14.txt,Ahmad Marzuk Bin Shaary,menteri sumber asli dan alam sekitar
mersing,20150611_Parliamentary_Reply_soalan-74.txt,,menteri perdagangan antarabangsa dan industri
bukit bendera,20151104__DR_JawabLisan_soalan-14.txt,Zairil Khir Johari,perdana menteri
,20140618_soalan-87.txt,,menteri pertanian dan industri asas tani
hulu langat,20150617_Parliamentary_Reply_soalan-48.txt,Che Rosli Bin Che Mat,menteri kerja raya
,20141124_Parliamentary_Reply_soalan-0-intro.txt,,menteri belia dan sukan
,Mar-Apr_2015_Soalan_Bertulis_301-400_soalan-367.txt,,menteri kesihatan
parit buntar,20140617_soalan-30.txt,Dr. Mujahid Yusof Rawa,menteri pendidikan
shah alam,Oct_Bertulis_Soalan_401-500_soalan-436.txt,Khalid Abdul Samad,menteri kewangan
,Oct_Bertulis_Soalan_301-400_soalan-393.txt,,menteri pertanian dan industri asas tani
stampin,Soalan_07-56_Oct_16_soalan-43.txt,Julian Tan Kok Ping,menteri dalam negeri
nibong tebal,20150316_Parliamentary_Reply_soalan-38.txt,Mansor Bin Othman,menteri perdagangan dalam negeri koperasi dan kepenggunaan
shah alam,Mar-Apr_2015_Soalan_Bertulis_401-500_soalan-446.txt,Khalid Abdul Samad,menteri kewangan
,20140609_soalan-166.txt,,menteri kesihatan
titiwangsa,20140407_51-75_soalan-73.txt,Johari Abdul,menteri pelancongan dan kebudayaan
bukit bendera,20150611_Parliamentary_Reply_soalan-16.txt,Zairil Khir Johari,menteri kewangan
kuala langat,20141118_Parliamentary_Reply_soalan-12.txt,Abdullah Sani Abdul Hamid,menteri dalam negeri
rasah,20151021__DR_JawabLisan_soalan-47.txt,Teo Kok Seong,menteri dalam negeri
,20151126__DR_JawabLisan_soalan-54.txt,Othman Aziz,menteri pertanian dan industri asas tani
,20150617_Parliamentary_Reply_soalan-16.txt,,menteri sumber manusia
sibu,Mar-Apr_2015_Soalan_Bertulis_301-400_soalan-369.txt,Oscar Ling Chai Yew,menteri sumber asli dan alam sekitar
isnin,20141103_Parliamentary_Reply_soalan-45.txt,,menteri pertahanan
nibong tebal,20150312_Parliamentary_Reply_soalan-26.txt,Mansor Bin Othman,menteri perdagangan dalam negeri koperasi dan kepenggunaan
,20151029__DR_JawabLisan_soalan-44.txt,,perdana menteri
tanjong karang,20141111_Parliamentary_Reply_soalan-23.txt,Noh Bin Omar,menteri pembangunan wanita keluarga dan masyarakat
,20151102__DR_JawabLisan_soalan-0-intro.txt,,
,20140609_soalan-124.txt,,
selasa 80,20140617_soalan-80.txt,Zainudin Ismail,menteri kemajuan luar bandar dan wilayah
,20151102__DR_JawabLisan_soalan-46.txt,,perdana menteri
beruas,20140331_31-60_soalan-57.txt,Ngeh Koo Ham,menteri kewangan
,20140409_26-50_soalan-46.txt,,menteri kesihatan
lanang,20150408_Parliamentary_Reply_soalan-71.txt,Alice Lau Kiong Yieng,menteri dalam negeri
sandakan,20150611_Parliamentary_Reply_soalan-46.txt,Wong Tien Fatt,perdana menteri
,20150518_20150618_S301_S400_soalan-378.txt,,menteri pembangunan wanita keluarga dan masyarakat
,20140401_soalan-8.txt,,menteri kesihatan
ipoh timor,20151201__DR_JawabLisan_soalan-12.txt,Su Keong Siong,perdana menteri
raub,20140616_soalan-57_1457586149.txt,Ariff Sabri Abd Aziz,perdana menteri
kalabakan,20151118__DR_JawabLisan_soalan-41.txt,Abdul Ghapur Salleh,perdana menteri
rasah 1,Oct_Bertulis_Soalan_301-400_soalan-308.txt,Teo Kok Seong,menteri dalam negeri
gopeng,20150518_20150618_S401_S500_soalan-453.txt,Lee Boon Chye,menteri kerja raya
,20150325_Parliamentary_Reply_soalan-53.txt,,perdana menteri
stampin,20140610_soalan-39.txt,Julian Tan Kok Ping,menteri dalam negeri
sik,20141119_Parliamentary_Reply_soalan-19.txt,Mansor Bin Abd Rahman,menteri dalam negeri
bukit bendera,20151130__DR_JawabLisan_soalan-52.txt,Zairil Khir Johari,perdana menteri
batu sapi,20150608_Parliamentary_Reply_soalan-15.txt,Tsen Thau Lin,menteri kewangan
labis,2014040_71-25_soalan-13.txt,Chua Tee Yong,menteri kewangan
,20141126_Parliamentary_Reply_soalan-49.txt,,menteri belia dan sukan
,20150316_Parliamentary_Reply_soalan-56.txt,,menteri sumber manusia
,20140319_21-50_soalan-8.txt,Ahmad Nazlan Bin Idris,perdana menteri
,20150325_Parliamentary_Reply_soalan-60.txt,,perdana menteri
kota melaka,20150618_ParliamentaryReply_soalan-12.txt,Sim Tong Him,perdana menteri
sungai petani,20151104__DR_JawabLisan_soalan-32.txt,Johari Bin Abdullah,menteri dalam negeri
,20151019_DR_JawabLisan_soalan-45.txt,,
lpoh barat,Oct_Bertulis_Soalan_201-300_soalan-237.txt,M. Kulasegaran A/L V. Murugeson,menteri dalam negeri
isnin,20140609_soalan-79.txt,Ahmad Jazlan Bin Yaakub,menteri belia dan sukan
lembah pantai,20140318_26-60_soalan-28.txt,Nurul Izzah Anwar,menteri kewangan
cheras,20140610_soalan-136.txt,Tan Kok Wai,perdana menteri
tenom,Mar-Apr_2015_SoalanBertulis_101-200_soalan-181.txt,Raime Unggi,menteri perusahaan perladangan dan komoditi
telok kemang,Oct_Bertulis_Soalan_501-569_soalan-548.txt,Kamarul Baharin Abbas,perdana menteri
,20140609_soalan-61.txt,Shabudin Yahaya,menteri perdagangan antarabangsa dan industri
jasin,20140612_soalan-90.txt,Ahmad Hamzah,perdana menteri
bukit katil 1,20140324_31-60_soalan-56.txt,Shamsul Iskandar Mohd Akin,menteri dalam negeri
petaling java selatan,20140319_71-81_soalan-72.txt,Hee Loy Sian,menteri kewangan
